ISIN,code
"INF109K01R89","IC8103-DP"
"INF109K01S39","8188-GR"
"INF109K01S54","8186-DP"
"INF109K01S54","8186-DR"
"INF109K01S70","8185-DP"
"INF109K01S70","8185-DR"
"INF109K01S96","8187-DP"
"INF109K01S96","8187-DR"
"INF109K01T04","8123-GR"
"INF109K01T46","8124-DR"
"INF109K01T46","IC8124-DP"
"INF109K01T61","8125-DR"
"INF109K01T61","IC8125-DP"
"INF109K01U84","8131-DR"
"INF109K01U84","IC8131-DP"
"INF109K01U92","8130-GR"
"INF109K01V00","8110-GR"
"INF109K01V42","8111-DR"
"INF109K01V42","IC8111-DP"
"INF109K01V67","8049-DP"
"INF109K01V67","8049-DR"
"INF109K01V83","8048-GR"
"INF109K01V91","8050-DP"
"INF109K01V91","8050-DR"
"INF109K01W17","8193-DP"
"INF109K01W17","8193-DR"
"INF109K01W25","8194-GR"
"INF109K01W41","8150-DP"
"INF109K01W41","8150-DR"
"INF109K01W58","8149-GR"
"INF109K01W74","8154-DP"
"INF109K01W74","8154-DR"
"INF109K01W82","8153-GR"
"INF109K01X08","8158-DP"
"INF109K01X08","8158-DR"
"INF109K01X16","8157-GR"
"INF109K01X40","8162-GR"
"INF109K01X65","8167-DP"
"INF109K01X65","8167-DR"
"INF109K01X73","8166-GR"
"INF109K01X99","8018-DP"
"INF109K01X99","8018-DR"
"INF109K01Y07","8017-GR"
"INF109K01Y15","8001P-DP"
"INF109K01Y23","8001-DR"
"INF109K01Y31","8000-GR"
"INF109K01Y49","8029-GR"
"INF109K01Y72","8108-DR"
"INF109K01Y72","IC8108-DP"
"INF109K01Y80","8107-GR"
"INF109K01Z06","8012-DP"
"INF109K01Z06","8012-DR"
"INF109K01Z14","8011-GR"
"INF109K01Z30","8020-DP"
"INF109K01Z30","8020-DR"
"INF109K01Z48","8019-GR"
"INF109K01Z63","8134-DP"
"INF109K01Z63","8134-DR"
"INF109K01Z71","8133-GR"
"INF109KA11J9","IC8758-GR"
"INF109KA16J8","IC8760-DP"
"INF109KA16J8","IC8760-DR"
"INF109KA1CE0","8344-GR"
"INF109KA1CF7","8345-DR"
"INF109KA1CF7","IC8345-DP"
"INF109KA1O37","IC8698-GR"
"INF109KA1O94","IC8700-DP"
"INF109KA1O94","IC8700-DR"
"INF109KA1UA0","8573-GR"
"INF109KA1UC6","8574-DP"
"INF109KA1UC6","8574-DR"
"INF109KA1X69","IC8727-DP"
"INF109KA1X69","IC8727-DR"
"INF109KA1Y01","IC8718-DP"
"INF109KA1Y01","IC8718-DR"
"INF109KB10X0","IC9209-GR"
"INF109KB12X6","IC9210-DP"
"INF109KB12X6","IC9210-DR"
"INF109KB1NM9","IC8920-DP"
"INF109KB1NM9","IC8920-DR"
"INF109KB1QL4","IC8961-DP"
"INF109KB1QL4","IC8961-DR"
"INF109KC10C2","IC9682-GR"
"INF109KC10J7","IC9701-GR"
"INF109KC10L3","IC9708-DP"
"INF109KC10L3","IC9708-DR"
"INF109KC11A4","IC9675-GR"
"INF109KC11D8","IC9684-GR"
"INF109KC11G1","IC9693-GR"
"INF109KC11M9","IC9711-GR"
"INF109KC12C8","IC9683-DP"
"INF109KC12C8","IC9683-DR"
"INF109KC12G9","IC9694-DR"
"INF109KC12I5","IC9691-GR"
"INF109KC12J3","IC9702-DP"
"INF109KC12J3","IC9702-DR"
"INF109KC12K1","IC9705-GR"
"INF109KC13A0","IC9676-DP"
"INF109KC13A0","IC9676-DR"
"INF109KC13D4","IC9685-DP"
"INF109KC13D4","IC9685-DR"
"INF109KC13E2","IC9689-GR"
"INF109KC13M5","IC9712-DP"
"INF109KC13M5","IC9712-DR"
"INF109KC13P8","IC9725-GR"
"INF109KC14B6","IC9680-GR"
"INF109KC14I1","IC9692-DP"
"INF109KC14I1","IC9692-DR"
"INF109KC14K7","IC9706-DP"
"INF109KC14K7","IC9706-DR"
"INF109KC14L5","IC9709-GR"
"INF109KC15E7","IC9690-DP"
"INF109KC15E7","IC9690-DR"
"INF109KC15G2","IC9695-DP"
"INF109KC15G2","IC9695-DR"
"INF109KC15P3","IC9726-DP"
"INF109KC15P3","IC9726-DR"
"INF109KC16B1","IC9681-DP"
"INF109KC16B1","IC9681-DR"
"INF109KC16J4","IC9703-GR"
"INF109KC16L0","IC9710-DP"
"INF109KC16L0","IC9710-DR"
"INF109KC18J0","IC9704-DP"
"INF109KC18J0","IC9704-DR"
"INF109KC18K8","IC9707-GR"
"INF109KC1D93","IC9594-GR"
"INF109KC1E01","IC9335-DP"
"INF109KC1E01","IC9335-DR"
"INF109KC1F34","IC9598-GR"
"INF109KC1F42","IC9599-DP"
"INF109KC1F42","IC9599-DR"
"INF109KC1F91","IC9600-GR"
"INF109KC1FX1","IC5005-GR"
"INF109KC1G09","IC9601-DP"
"INF109KC1G09","IC9601-DR"
"INF109KC1GH2","IC9333-GR"
"INF109KC1GJ8","IC9334-DP"
"INF109KC1GJ8","IC9334-DR"
"INF109KC1I49","IC9611-GR"
"INF109KC1I56","IC9612-DP"
"INF109KC1I56","IC9612-DR"
"INF109KC1LJ8","IC9392-GR"
"INF109KC1LK6","IC9393-DP"
"INF109KC1LK6","IC9393-DR"
"INF109KC1MY5","IC9417-DR"
"INF109KC1MZ2","IC9418-DR"
"INF109KC1NA3","IC9418-DP"
"INF109KC1O09","IC9637-GR"
"INF109KC1O17","IC9638-DP"
"INF109KC1O17","IC9638-DR"
"INF109KC1O66","IC9639-GR"
"INF109KC1O74","IC9640-DP"
"INF109KC1O74","IC9640-DR"
"INF109KC1P24","IC9641-GR"
"INF109KC1P32","IC9642-DP"
"INF109KC1P32","IC9642-DR"
"INF109KC1P81","IC9643-GR"
"INF109KC1P99","IC9644-DP"
"INF109KC1P99","IC9644-DR"
"INF109KC1R14","IC9645-GR"
"INF109KC1R22","IC9646-DP"
"INF109KC1R22","IC9646-DR"
"INF109KC1R89","IC9647-GR"
"INF109KC1R97","IC9648-DP"
"INF109KC1R97","IC9648-DR"
"INF109KC1RH9","IC9453-GR"
"INF109KC1RI7","IC9454-DP"
"INF109KC1RI7","IC9454-DR"
"INF109KC1S88","IC9649-GR"
"INF109KC1T53","IC9652-DP"
"INF109KC1T53","IC9652-DR"
"INF109KC1TS2","IC9489-GR"
"INF109KC1TT0","IC9490-DP"
"INF109KC1TW4","IC9491-GR"
"INF109KC1TX2","IC9492-DP"
"INF109KC1U50","IC9656-GR"
"INF109KC1U76","IC9657-DP"
"INF109KC1U76","IC9657-DR"
"INF109KC1UA8","IC9493-GR"
"INF109KC1UB6","IC9494-DP"
"INF109KC1UE0","IC9495-GR"
"INF109KC1UF7","IC9496-DP"
"INF109KC1V18","IC9658-GR"
"INF109KC1V34","IC9659-DP"
"INF109KC1V34","IC9659-DR"
"INF109KC1V91","IC9660-GR"
"INF109KC1W17","IC9661-DP"
"INF109KC1W17","IC9661-DR"
"INF109KC1W58","IC9662-GR"
"INF109KC1W74","IC9663-DP"
"INF109KC1W74","IC9663-DR"
"INF109KC1Y15","IC9669-GR"
"INF109KC1Y31","IC9670-DP"
"INF109KC1Y31","IC9670-DR"
"INF109KC1Y98","IC9673-GR"
"INF109KC1YD4","IC9551-GR"
"INF109KC1YF9","IC9552-DP"
"INF109KC1YF9","IC9552-DR"
"INF109KC1Z14","IC9674-DP"
"INF109KC1Z14","IC9674-DR"
"INF109KC1Z55","IC9671-GR"
"INF109KC1Z71","IC9672-DP"
"INF109KC1Z71","IC9672-DR"
"INF123BSE102","BS44NZ-DP"
"INF123BSE103","BS44NZ-DR"
"INF123BSE107","HDSTODT-DP"
"INF123BSE108","HDSTODT-DR"
"INF123BSE142","UTCBD1-GR"
"INF123BSE145","UTCCD2-GR"
"INF123BSE148","UTRPD1-GR"
"INF123BSE151","HDCGILT-GR"
"INF123BSE154","HD59T-DR"
"INF173K01BZ0","SUUTZD-DR"
"INF173K01CA1","SUUTZW-DR"
"INF173K01EK6","SULCZG-GR"
"INF173K01EL4","SULCZD-DR"
"INF173K01EM2","SULCZD-DP"
"INF173K01ES9","SUDYZD-DP"
"INF173K01ET7","SUDYZD-DR"
"INF173K01EV3","SUDYZG-GR"
"INF173K01EW1","SUNHZD-DP"
"INF173K01EX9","SUNHZD-DR"
"INF173K01EZ4","SUNHZG-GR"
"INF173K01FB2","SUSBZD-DP"
"INF173K01FC0","SUSBZD-DR"
"INF173K01FE6","SUSBZG-GR"
"INF173K01FF3","SUSAZD-DP"
"INF173K01FG1","SUSAZD-DR"
"INF173K01FI7","SUSAZG-GR"
"INF173K01FN7","SUMGZD-DP"
"INF173K01FO5","SUMGZD-DR"
"INF173K01FQ0","SUMGZG-GR"
"INF173K01FR8","SUFFZD-DR"
"INF173K01FS6","SUFFZG-GR"
"INF173K01FT4","SUFFZM-DP"
"INF173K01FU2","SUFFZM-DR"
"INF173K01FW8","SUFFZW-DR"
"INF173K01GP0","SUISZG-GR"
"INF173K01GQ8","SUISZM-DP"
"INF173K01GR6","SUISZM-DR"
"INF173K01GT2","SULFZD-DR"
"INF173K01GU0","SULFZG-GR"
"INF173K01GV8","SULFZM-DP"
"INF173K01GW6","SULFZM-DR"
"INF173K01GY2","SULFZW-DR"
"INF173K01GZ9","SUQSZG-GR"
"INF173K01HC6","SUQSZM-DP"
"INF173K01HD4","SUQSZM-DR"
"INF173K01HF9","SUQSZQ-DP"
"INF173K01HG7","SUQSZQ-DR"
"INF173K01HI3","SUUTZG-GR"
"INF173K01HJ1","SUUTZM-DR"
"INF173K01HK9","SUUTZM-DP"
"INF173K01HZ7","SUTFZG-GR"
"INF173K01NC4","SUABZD-DP"
"INF173K01NE0","SUABZD-DR"
"INF173K01NF7","SUABZG-GR"
"INF173K01NN1","SUTFZD-DP"
"INF174K01D28","KO35D-GR"
"INF174K01D51","KO36D-DR"
"INF174K01D51","KO36DP-DP"
"INF174K01F00","KO04GD-GR"
"INF174K01JC0","KO06D-GR"
"INF174K01JD8","KO17DP-DR"
"INF174K01JE6","KO17D-DP"
"INF174K01JE6","KO17D-DR"
"INF174K01JI7","KO10D-GR"
"INF174K01JP2","KO135D-GR"
"INF174K01JQ0","KO145D-DR"
"INF174K01JU2","KO197D-GR"
"INF174K01JX6","KO200DP-DR"
"INF174K01JY4","KO200D-DP"
"INF174K01JY4","KO200D-DR"
"INF174K01JZ1","KO41D-GR"
"INF174K01KA2","KO42DP-DR"
"INF174K01KB0","KO42D-DP"
"INF174K01KB0","KO42D-DR"
"INF174K01KE4","KO02D-GR"
"INF174K01KF1","KOP06DDP-DR"
"INF174K01KG9","KO12D-DP"
"INF174K01KG9","KO12D-DR"
"INF174K01KH7","KO01D-GR"
"INF174K01KK1","KOP03DDP-DR"
"INF174K01KL9","KO11D-DP"
"INF174K01KL9","KO11D-DR"
"INF174K01KT2","KO104D-GR"
"INF174K01KU0","KO47DP-DR"
"INF174K01KV8","KO114D-DP"
"INF174K01KV8","KO114D-DR"
"INF174K01KW6","KO13D-GR"
"INF174K01KX4","KO05DDP-DR"
"INF174K01KY2","KO03D-DP"
"INF174K01KY2","KO03D-DR"
"INF174K01KZ9","KO124D-GR"
"INF174K01LA0","KO134DP-DR"
"INF174K01LB8","KO134D-DP"
"INF174K01LB8","KO134D-DR"
"INF174K01LC6","KO179D-GR"
"INF174K01LD4","KO189DP-DR"
"INF174K01LE2","KO189D-DP"
"INF174K01LE2","KO189D-DR"
"INF174K01LF9","KO108D-GR"
"INF174K01LG7","KO50DP-DR"
"INF174K01LH5","KO118D-DP"
"INF174K01LH5","KO118D-DR"
"INF174K01LI3","KO144D-GR"
"INF174K01LJ1","KO154D-DP"
"INF174K01LM5","KO04D-DP"
"INF174K01LM5","KO04D-DR"
"INF174K01LN3","KO107D-GR"
"INF174K01LO1","KO49DP-DR"
"INF174K01LP8","KO117D-DP"
"INF174K01LP8","KO117D-DR"
"INF174K01LR4","KO178D-DP"
"INF174K01LR4","KO178D-DR"
"INF174K01LS2","KO168D-GR"
"INF174K01LT0","KO123D-GR"
"INF174K01LU8","KO133DP-DR"
"INF174K01LV6","KO133D-DP"
"INF174K01LV6","KO133D-DR"
"INF174K01LW4","KO143D-GR"
"INF174K01LX2","KO153DP-DR"
