Scheme Code;ISIN Div Payout/ ISIN Growth;ISIN Div Reinvestment;Scheme Name;Net Asset Value;Date
112487;INF917K01056;-;L&T Conservative Hybrid Fund- Regular Plan - Growth;43.426;30-Aug-2022
119853;INF917K01GH7;INF917K01GG9;L&T Conservative Hybrid Fund -Direct Plan-Monthly IDCW;11.9359;30-Aug-2022
112488;INF917K01031;INF917K01049;L&T Conservative Hybrid Fund -Regular Plan - Monthly IDCW;11.132;30-Aug-2022
119854;INF917K01GJ3;INF917K01GI5;L&T Conservative Hybrid Fund -Direct Plan-Quarterly IDCW;11.6568;30-Aug-2022
112489;INF917K01064;INF917K01072;L&T Conservative Hybrid Fund -Regular Plan -Quarterly IDCW;10.9668;30-Aug-2022
120276;INF767K01EO7;-;LIC MF Debt Hybrid Fund-Direct Plan-Growth;73.6302;30-Aug-2022
120277;INF767K01EP4;INF767K01ES8;LIC MF Debt Hybrid Fund-Direct Plan-Monthly IDCW;11.7596;30-Aug-2022
120274;INF767K01EQ2;INF767K01ET6;LIC MF Debt Hybrid Fund-Direct Plan-Quarterly IDCW;14.8456;30-Aug-2022
120275;INF767K01ER0;INF767K01EU4;LIC MF Debt Hybrid Fund-Direct Plan-Yearly IDCW;13.2151;30-Aug-2022
101869;INF767K01808;-;LIC MF Debt Hybrid Fund-Regular Plan-Growth;68.256;30-Aug-2022
101866;INF767K01816;INF767K01824;LIC MF Debt Hybrid Fund-Regular Plan-Monthly IDCW;11.6667;30-Aug-2022
101867;INF767K01832;INF767K01840;LIC MF Debt Hybrid Fund-Regular Plan-Quarterly IDCW;11.9896;30-Aug-2022
101868;INF767K01857;INF767K01865;LIC MF Debt Hybrid Fund-Regular Plan-Yearly IDCW;12.2468;30-Aug-2022
119157;INF959L01684;INF959L01692;Navi Regular Savings Fund - Direct Plan Monthly IDCW;11.613;30-Aug-2022
119158;INF959L01700;INF959L01718;Navi Regular Savings Fund - Direct Plan Quarterly IDCW;15.8291;30-Aug-2022
113141;INF959L01098;INF959L01106;Navi Regular Savings Fund - Monthly IDCW;11.0213;30-Aug-2022
